Price,Close,High,Low,Open,Volume
Ticker,S,S,S,S,S
Date,,,,,
2026-05-18,17.540000915527344,17.68000030517578,16.6200008392334,16.799999237060547,8168200
2026-05-19,17.65999984741211,18.1200008392334,17.399999618530273,17.709999084472656,9366700
2026-05-20,17.969999313354492,18.030000686645508,17.299999237060547,17.469999313354492,7146900
2026-05-21,18.110000610351562,18.295000076293945,17.780000686645508,17.860000610351562,6600800
2026-05-22,18.709999084472656,18.809999465942383,18.1299991607666,18.290000915527344,6990200
2026-05-26,18.559999465942383,18.795000076293945,18.209999084472656,18.68000030517578,10327100
2026-05-27,17.950000762939453,18.190000534057617,17.59000015258789,17.790000915527344,9762000
2026-05-28,18.020000457763672,18.299999237060547,17.405000686645508,18.0,26046400
2026-05-29,16.549999237060547,17.204999923706055,15.260000228881836,15.4399995803833,30820500
2026-06-01,17.809999465942383,18.200000762939453,17.013999938964844,17.049999237060547,15670000
2026-06-02,17.350000381469727,17.729999542236328,17.010000228881836,17.549999237060547,9812900
2026-06-03,16.299999237060547,17.190000534057617,16.280000686645508,17.139999389648438,9889100
2026-06-04,16.530000686645508,16.850000381469727,15.920000076293945,16.3799991607666,7676100
2026-06-05,15.949999809265137,16.610000610351562,15.640999794006348,16.5,7589500
2026-06-08,15.75,15.984999656677246,15.539999961853027,15.9350004196167,6667800
2026-06-09,15.239999771118164,15.609999656677246,14.795000076293945,15.609999656677246,7012800
2026-06-10,14.789999961853027,15.399999618530273,14.729999542236328,14.949999809265137,6158200
2026-06-11,14.760000228881836,14.8100004196167,14.305000305175781,14.569999694824219,6208400
2026-06-12,14.850000381469727,14.975000381469727,14.430000305175781,14.739999771118164,5463200
2026-06-15,15.1899995803833,15.505000114440918,14.869999885559082,15.1899995803833,6036800
2026-06-16,15.029999732971191,15.515000343322754,14.899999618530273,15.149999618530273,4315900
2026-06-17,14.800000190734863,15.289999961853027,14.6899995803833,14.920000076293945,6646500
2026-06-18,,,,,8410654
